goal_x,goal_y,goal_z,goal_roll,goal_pitch,goal_yaw,feedback_x,feedback_y,feedback_z,feedback_roll,feedback_pitch,feedback_yaw
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0478,0.29,0.2181,-3.131,1.127,-3.064
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2138,0.3,0.1752,-3.076,1.145,-3.052
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2176,0.2979,0.1595,-3.018,1.111,-3.002
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2186,0.2969,0.1576,-3.029,1.111,-3.03
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2497,0.2696,0.1609,1.638,1.5,-3.07
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1848,0.0033,0.2833,-2.918,1.437,-2.843
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0005,0.2881,-2.841,1.455,-2.804
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1769,-0.0005,0.2881,-2.841,1.455,-2.804
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0663,0.2833,0.2247,3.089,1.143,3.128
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2189,0.2989,0.1732,-3.08,1.151,-3.063
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2124,0.2978,0.1508,-2.999,1.085,-2.996
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2124,0.2973,0.1493,-3.004,1.083,-3.009
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2494,0.2702,0.161,1.691,1.494,-3.055
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1856,0.0039,0.2834,-2.926,1.44,-2.845
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.177,-0.0005,0.2881,-2.835,1.458,-2.795
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.184,-0.0005,0.278,-2.903,1.444,-2.875
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0697,0.2822,0.2256,3.072,1.147,3.102
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2189,0.2989,0.1732,-3.082,1.151,-3.063
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2133,0.2979,0.1519,-3.006,1.092,-3.002
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2139,0.2974,0.151,-3.019,1.091,-3.031
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2488,0.2706,0.1604,1.717,1.49,-3.053
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.185,0.0036,0.2833,-2.912,1.442,-2.832
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1771,-0.0005,0.2881,-2.828,1.46,-2.791
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1849,-0.0005,0.2776,-2.899,1.446,-2.872
0.0441,0.2917,0.2168,3.135,1.132,-3.078,0.0694,0.2826,0.2259,3.064,1.148,3.097
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2155,0.3,0.1746,-3.088,1.155,-3.067
0.2104,0.297,0.147,-2.988,1.072,-3.002,0.2149,0.2978,0.1542,-3.011,1.099,-3.005
0.2233,0.2968,0.1673,-3.02,1.126,-3.0,0.2228,0.2975,0.1647,-3.055,1.138,-3.048
0.2503,0.2699,0.1607,1.495,1.513,3.088,0.2493,0.2701,0.1607,1.67,1.495,-3.08
0.176,-0.0005,0.288,-2.879,1.439,-2.844,0.1812,0.0007,0.2849,-2.878,1.45,-2.826
